Hora,"Nombre completo del usuario","Usuario afectado","Contexto del evento",Componente,"Nombre evento",Descripción,Origen,"Dirección IP"
"12/10/2017 09:40","Admin Usuario",-,"Curso: curso2",Registros,"Informe de registros visto","The user with id '2' viewed the log report for the course with id '3'.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:40","Admin Usuario",-,"Curso: curso2",Sistema,"Curso visto","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:40","Admin Usuario",-,"Curso: curso2",Sistema,"Curso visto","The user with id '2' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:40","Admin Usuario",-,"Página Principal",Sistema,"Curso visto","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:40","Admin Usuario","Admin Usuario","Usuario: Admin Usuario",Sistema,"Tablero de eventos vistos","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"12/10/2017 09:40","Admin Usuario",-,Sistema,Sistema,"El usuario ha iniciado sesión","The user with id '2' has logged in.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:39",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:24","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:24","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:24","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:22","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,127.0.0.1
"12/10/2017 09:22","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:22","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"12/10/2017 09:22","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:22","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"12/10/2017 09:20","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:20","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:20","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:20","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,0:0:0:0:0:0:0:1
"12/10/2017 09:20",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"12/10/2017 09:19","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:19","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"12/10/2017 09:18","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:18","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"12/10/2017 09:16","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:16","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"12/10/2017 09:14","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:14","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"12/10/2017 09:12","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"12/10/2017 09:12","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:47","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:47","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:47","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:47","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:46","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:46","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:45","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:45","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:44","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:44","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:41","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:40","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:30","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:29","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 18:28","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 18:28","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:56","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_enrolled_users' has been called.",ws,0:0:0:0:0:0:0:1
"10/10/2017 17:55","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_enrolled_users' has been called.",ws,0:0:0:0:0:0:0:1
"10/10/2017 17:55","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_enrolled_users' has been called.",ws,0:0:0:0:0:0:0:1
"10/10/2017 17:53",-,-,Sistema,Sistema,"El acceso al ""web service"" ha fallado","Web service authentication failed with code: ""invalid_token"".",ws,0:0:0:0:0:0:0:1
"10/10/2017 17:52","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:52","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:50","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:50","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:18","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:18","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:17","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:17","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:16","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:16","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:14","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:14","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 17:14","profesor profesor",-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor' for the reason with id '3'.",web,127.0.0.1
"10/10/2017 17:05","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 17:05","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 16:54","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 16:54","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 16:44","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_user_get_users_by_field' has been called.",ws,127.0.0.1
"10/10/2017 16:44","profesor profesor",-,Sistema,Sistema,"El token del ""web service"" ha sido enviado","The user with id '6' has been sent the web service token with id '1'.",web,127.0.0.1
"10/10/2017 16:44","profesor profesor","profesor profesor",Sistema,Sistema,"El token del ""web service"" ha sido creado","The user with id '6' created a web service token for the user with id '6'.",web,127.0.0.1
"10/10/2017 16:42","profesor profesor",-,"Curso: curso 1",Sistema,"Curso visto","The user with id '6' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:42","profesor profesor",-,"Curso: curso2",Sistema,"Curso visto","The user with id '6' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:42","profesor profesor",-,"Curso: curso 1",Sistema,"Curso visto","The user with id '6' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:42","profesor profesor","profesor profesor","Usuario: profesor profesor",Sistema,"Tablero de eventos vistos","The user with id '6' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"10/10/2017 16:42","profesor profesor",-,Sistema,Sistema,"El usuario ha iniciado sesión","The user with id '6' has logged in.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:41",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor@profesor.com' for the reason with id '1'.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:41",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:41","Admin Usuario","profesor profesor","Usuario: profesor profesor",Sistema,"Usuario actualizado","The user with id '2' updated the profile for the user with id '6'.",web,0:0:0:0:0:0:0:1
"10/10/2017 16:40","Admin Usuario","Admin Usuario","Usuario: Admin Usuario",Sistema,"Tablero de eventos vistos","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"10/10/2017 16:35",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor@profesor.com' for the reason with id '1'.",web,127.0.0.1
"10/10/2017 16:29",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'ofa0007@alu.ubu.es' for the reason with id '1'.",web,127.0.0.1
"10/10/2017 16:28",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'ofa0007@alu.ubu.es' for the reason with id '1'.",web,127.0.0.1
"10/10/2017 16:26",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor@profesor.com' for the reason with id '1'.",web,127.0.0.1
"10/10/2017 16:25","Admin Usuario","Admin Usuario","Usuario: Admin Usuario",Sistema,"Tablero de eventos vistos","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"10/10/2017 15:59",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor@profesor.com' for the reason with id '1'.",web,127.0.0.1
"10/10/2017 15:59","Admin Usuario","Admin Usuario","Usuario: Admin Usuario",Sistema,"Tablero de eventos vistos","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"10/10/2017 15:59","Admin Usuario",-,Sistema,Sistema,"El usuario ha iniciado sesión","The user with id '2' has logged in.",web,0:0:0:0:0:0:0:1
"10/10/2017 15:57",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:47","profesor profesor",-,"Curso: curso2",Registros,"Informe de registros visto","The user with id '6' viewed the log report for the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:47","profesor profesor",-,"Curso: curso2",Sistema,"Curso visto","The user with id '6' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:47","profesor profesor",-,"Archivo: archivo 1",Sistema,"Módulo de curso creado","The user with id '6' created the 'resource' activity with course module id '5'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:46","profesor profesor",-,"Curso: curso2",Sistema,"Curso visto","The user with id '6' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:46","profesor profesor",-,"Cuestionario: cuestionario 1",Sistema,"Módulo de curso creado","The user with id '6' created the 'quiz' activity with course module id '4'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Foro: otros",Sistema,"Módulo de curso actualizado","The user with id '6' updated the 'forum' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Foro: otros",Sistema,"Módulo de curso creado","The user with id '6' created the 'forum' activity with course module id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Curso: curso2",Sistema,"Curso visto","The user with id '6' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Curso: curso2","Tours para usuarios","Tour terminado","The user with id '6' has ended the tour with id '2' at step index '0' (id '7') on the page with URL 'http://localhost/moodle/course/view.php?id=3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Curso: curso2","Tours para usuarios","Paso mostrado","The user with id '6' has viewed the tour with id '2' at step index '0' (id '7') on the page with URL 'http://localhost/moodle/course/view.php?id=3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Curso: curso2","Tours para usuarios","Tour iniciado","The user with id '6' has started the tour with id '2' on the page with URL 'http://localhost/moodle/course/view.php?id=3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Curso: curso2",Sistema,"Curso visto","The user with id '6' viewed the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,"Página Principal",Sistema,"Curso visto","The user with id '6' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor","profesor profesor","Usuario: profesor profesor",Sistema,"Tablero de eventos vistos","The user with id '6' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45","profesor profesor",-,Sistema,Sistema,"El usuario ha iniciado sesión","The user with id '6' has logged in.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:45",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor@profesor.com' for the reason with id '1'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:44",-,-,Sistema,Sistema,"Inicio de sesión fallido","Login failed for the username 'profesor@profesor.com' for the reason with id '1'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:44",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:44","Admin Usuario",-,Sistema,Sistema,"Usuario desconectado","The user with id '2' has logged out.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:44","Admin Usuario",-,"Curso: curso 1",Sistema,"Curso visto","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:44","Admin Usuario","alumno3 alumno3","Curso: curso 1",Sistema,"Rol asignado","The user with id '2' assigned the role with id '5' to the user with id '5'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:44","Admin Usuario","alumno3 alumno3","Curso: curso 1",Sistema,"Usuario matriculado en curso","The user with id '2' enrolled the user with id '5' using the enrolment method 'manual' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario","alumno2 alumno2","Curso: curso 1",Sistema,"Rol asignado","The user with id '2' assigned the role with id '5' to the user with id '4'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario","alumno2 alumno2","Curso: curso 1",Sistema,"Usuario matriculado en curso","The user with id '2' enrolled the user with id '4' using the enrolment method 'manual' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario","profesor profesor","Curso: curso 1",Sistema,"Rol asignado","The user with id '2' assigned the role with id '3' to the user with id '6'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario","profesor profesor","Curso: curso 1",Sistema,"Usuario matriculado en curso","The user with id '2' enrolled the user with id '6' using the enrolment method 'manual' in the course with id '2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario",-,"Curso: curso 1",Sistema,"Lista de usuarios vista","The user with id '2' viewed the list of users in the course with id '2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario",-,"Curso: curso 1","Tours para usuarios","Tour terminado","The user with id '2' has ended the tour with id '2' at step index '0' (id '7') on the page with URL 'http://localhost/moodle/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario",-,"Curso: curso 1","Tours para usuarios","Paso mostrado","The user with id '2' has viewed the tour with id '2' at step index '0' (id '7') on the page with URL 'http://localhost/moodle/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario",-,"Curso: curso 1","Tours para usuarios","Tour iniciado","The user with id '2' has started the tour with id '2' on the page with URL 'http://localhost/moodle/course/view.php?id=2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario",-,"Curso: curso 1",Sistema,"Curso visto","The user with id '2' viewed the course with id '2'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario",-,"Categoría: Miscelánea",Sistema,"Categoría vista","The user with id '2' viewed the course category with id '1'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario","profesor profesor","Curso: curso2",Sistema,"Rol asignado","The user with id '2' assigned the role with id '3' to the user with id '6'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:43","Admin Usuario","profesor profesor","Curso: curso2",Sistema,"Usuario matriculado en curso","The user with id '2' enrolled the user with id '6' using the enrolment method 'manual' in the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:42","Admin Usuario","alumno3 alumno3","Curso: curso2",Sistema,"Rol asignado","The user with id '2' assigned the role with id '5' to the user with id '5'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:42","Admin Usuario","alumno3 alumno3","Curso: curso2",Sistema,"Usuario matriculado en curso","The user with id '2' enrolled the user with id '5' using the enrolment method 'manual' in the course with id '3'.",web,0:0:0:0:0:0:0:1
"9/10/2017 17:42","Admin Usuario","alumno1 alumno1","Curso: curso2",Sistema,"Rol asignado","The user with id '2' assigned the role with id '5' to the user with id '3'.",web,0:0:0:0:0:0:0:1
